"tag1","tag2","title","link","journal","time","abstract"
"clinic","","First 12 patients with coronavirus disease 2019 (COVID-19) in the United States","https://www.medrxiv.org/content/10.1101/2020.03.09.20032896v1","medRxiv","2020/3/9","Introduction: More than 93,000 cases of coronavirus disease (COVID-19) have been reported worldwide. We describe the epidemiology, clinical course, and virologic characteristics of the first 12 U.S. patients with COVID-19. Methods: We collected demographic, exposure, and clinical information from 12 patients confirmed by CDC during January 20-February 5, 2020 to have COVID-19. Respiratory, stool, serum, and urine specimens were submitted for SARS-CoV-2 rRT-PCR testing, virus culture, and whole genome sequencing. Results: Among the 12 patients, median age was 53 years (range: 21-68); 8 were male, 10 had traveled to China, and two were contacts of patients in this series. Commonly reported signs and symptoms at illness onset were fever (n=7) and cough (n=8). Seven patients were hospitalized with radiographic evidence of pneumonia and demonstrated clinical or laboratory signs of worsening during the second week of illness. Three were treated with the investigational antiviral remdesivir. All patients had SARS-CoV-2 RNA detected in respiratory specimens, typically for 2-3 weeks after illness onset, with lowest rRT-PCR Ct values often detected in the first week. SARS-CoV-2 RNA was detected after reported symptom resolution in seven patients. SARS-CoV-2 was cultured from respiratory specimens, and SARS-CoV-2 RNA was detected in stool from 7/10 patients.Conclusions: In 12 patients with mild to moderately severe illness, SARS-CoV-2 RNA and viable virus were detected early, and prolonged RNA detection suggests the window for diagnosis is long. Hospitalized patients showed signs of worsening in the second week after illness onset."
"epidemiology","","Transmission potential of COVID-19 in Iran","https://www.medrxiv.org/content/10.1101/2020.03.08.20030643v1","medRxiv","2020/3/8","We computed reproduction number of COVID-19 epidemic in Iran using two different methods. We estimated R0 at 3.6 (95% CI, 3.2, 4.2) (generalized growth model) and at 3.58 (95% CI, 1.29, 8.46) (estimated epidemic doubling time of 1.20 (95% CI, 1.05, 1.44) days) respectively. Immediate social distancing measures are recommended."
"clinic","","Mortality of COVID-19 is Associated with Cellular Immune Function Compared to Immune Function in Chinese Han Population","https://www.medrxiv.org/content/10.1101/2020.03.08.20031229v1","medRxiv","2020/3/8","In December 2019, novel coronavirus (SARS-CoV-2) infected pneumonia occurred in Wuhan, China. The number of cases has increased rapidly but information on the clinical characteristics of SARS-CoV-2 pneumonia compared to normal controls in Chinese Han population is limited. Our objective is to describe the clinical characteristics of SARS-CoV-2 pneumonia compared to normal controls in the Chinese Han population. In this case series of 749 patients, the full spectrum of cases is described. Fever was present in 86-90% of the patients. The second most common symptom was cough (49.1-51.0%), fatigue (25.2-27.1%), sputum (20.0-23.1%), and headache (9.8-11.1%). the mortality rate is 4.6% in Wuhan, 1.9% in Beijing, and 0.9% in Shanghai. Our findings showed that the levels of lymphocytes were 0.8£¨IQR, 0.6-1.1<ef><U+00BC>?09/L in Wuhan, 1.0£¨IQR, 0.7-1.4<ef><U+00BC>?09/L in Beijing, and 1.1 (IQR, 0.8-1.5) 109/L in Shanghai before admission to hospitals, respectively, indicating that cellular immune function might relate to the mortality."
"pathogenic","medicine","A Single Membrane Protein Required for Atrial Secretory Granule Formation","https://www.biorxiv.org/content/10.1101/2020.03.08.982777v1","bioRxiv","2020/3/8","The discovery of atrial secretory granules and the natriuretic peptides stored in them identified the atrium as an endocrine organ. Although neither atrial nor brain natriuretic peptide (ANP, BNP) is amidated, the major membrane protein in atrial granules is Peptidylglycine <e6><U+0085>?Amidating Monooxygenase (PAM), an enzyme essential for amidated peptide biosynthesis. Mice lacking cardiomyocyte PAM (PamMyh6-cKO/cKO) are viable, but a gene dosage-dependent drop in atrial ANP and BNP content occurred. Ultrastructural analysis of adult PamMyh6-cKO/cKO atria revealed a 20-fold drop in the volume fraction of secretory granules and a decrease in peripherally localized Golgi complexes. When primary cultures of Pam0-Cre-cKO/cKO atrial myocytes (PAM floxed, no Cre recombinase) were transduced with Cre-GFP lentivirus, PAM protein levels dropped, followed by a decline in proANP levels. Expression of exogenous PAM in PamMyh6-cKO/cKO atrial myocytes produced a dose-dependent increase in proANP content. Strikingly, rescue of proANP content did not require the monooxygenase activity of PAM. Unlike many prohormones, atrial proANP is stored intact and its basal secretion is stimulated by drugs that inhibit Golgi-localized Arf activators. Increased basal secretion of proANP was a major contributor to its reduced levels in PamMyh6-cKO/cKO myocytes; the inability of these drugs to inhibit basal proANP secretion by PamMyh6-cKO/cKO myocytes revealed a role for COPI-mediated recycling of PAM to the endoplasmic reticulum. Analysis of atrial coated vesicles and the ability PAM to make fluorescently-tagged proANP accumulate in the cis-Golgi region of cells lacking secretory granules revealed a non-catalytic role for PAM in soluble cargo trafficking early in the secretory pathway.Significance Transmission electron microscopy of atrial cardiomyocytes revealed dense granules resembling those in endocrine cells and neurons, leading to the discovery of the natriuretic peptides stored in these granules. Subsequent studies revealed features unique to atrial granules, including high level expression of Peptidylglycine <e6><U+0085>?Amidating Monooxygenase (PAM), an enzyme required for the synthesis of many neuropeptides, but not for the synthesis of natriuretic peptides. The discovery that atrial myocytes lacking PAM are unable to produce granules and that PAM lacking its monooxygenase activity can rescue granule formation provides new information about the proANP secretory pathway. A better understanding of the unique features of atrial cell biology should provide insight into atrial fibrillation, the most common cardiac arrhythmia, atrial amyloidosis and heart failure."
"epidemiology","","Quantifying dynamics of SARS-CoV-2 transmission suggests that epidemic control and avoidance is feasible through instantaneous digital contact tracing","https://www.medrxiv.org/content/10.1101/2020.03.08.20032946v1","medRxiv","2020/3/8","Mobile phone apps implementing algorithmic contact tracing can speed up the process of tracing newly diagnosed individuals, spreading information instantaneously back through a past contact network to inform them that they are at risk of being infected, and thus allow them to take appropriate social distancing and testing measures. The aim of non-pharmaceutical infection prevention is to move a population towards herd protection, a state where a population maintains R<U+200B>0<<U+200B>1, thus making it impossible for a pathogen to cause an epidemic. Here, we address epidemiological issues that affect the feasibility of an algorithmic approach to instantaneous contact tracing; ethical and implementation issues are addressed separately. First we quantify the parameters of COVID-19 in a framework that is consistent with the renewal equation formulation of epidemic spread. Second, we use an analytical solution to application of first-degree contact tracing in the renewal equation model to explore combinations of efficacy that can induce herd protection (R<U+200B>0<<U+200B>1). With the emergence of the novel viral pathogen SARS-CoV-2, of clear potential for a global pandemic with high fatality rates and incapacitated health systems, the question of prevention has critical priority. We come to the conclusion that isolating symptomatic cases and tracing their contacts in a classical manner is not sufficiently fast to stop the spread of the epidemic and needs to be accompanied by measures of social distancing that are disruptive to a wide number of people. We show that first-degree instantaneous contact tracing, informing users when they can move safely or when to seek medical help and avoid vulnerable individuals, has the potential to stop the spread of the epidemic if used by a sufficiently large number of people with reasonable fidelity."
"clinic","","Clinical Characteristics of SARS-CoV-2 Pneumonia Compared to Controls in Chinese Han Population","https://www.medrxiv.org/content/10.1101/2020.03.08.20031658v1","medRxiv","2020/3/8","Background In December 2019, novel coronavirus (SARS-CoV-2) infected pneumonia occurred in Wuhan, China. The number of cases has increased rapidly but information on the clinical characteristics of SARS-CoV-2 pneumonia without comorbidities compared to normal controls in Chinese Han population is limited. Our objective is to describe the epidemiological and clinical characteristics of SARS-CoV-2 pneumonia without comorbidities compared to normal controls in the Chinese Han population.Methods Retrospective, multi-center case series of the 69 consecutive hospitalized patients with confirmed SARS-CoV-2 pneumonia, from February 7 to February 28, 2020; final date of follow-up was February 29, 2020.Results The study population included 69 hospitalized patients with confirmed SARS-CoV-2 pneumonia without comorbidities and 14,117 normal controls. 50.7% patients were male and 49.3% were female; 1.5% patients were asymptomatic cases, 63.8% patients were mild cases, and 36.2% patients were severe or critical cases. Compared with mild patients (n = 44), severe or critical patients (n = 25) were significantly older (median age, 67 years [IQR, 58-79] vs. 49 years [IQR, 36-60]; P < 0.01). Fever was present in 98.6% of the patients. The second most common symptom was cough (62.3%), fatigue (58.0%), sputum (39.1%), and headache (33.3%). The median incubation period was 4 days (IQR, 2 to 7). Leukocyte count was 74.1% of normal controls and lymphocyte count was 45.9% of normal controls. The phenomenon of lymphocyte depletion (PLD) observed in severe or critical cases in 100%. Levels of lactate dehydrogenase, D-dimer, procalcitonin, and interleukin-6 were showed significant differences between mild and severe or critical cases. Chest computed tomographic scans showed bilateral patchy patterns (49.3%), local patchy shadowing (29.0%), and ground glass opacity (21.7%). 7.3% patients were diagnosed ARDS, 7.3% patients were diagnosed acute cardiac injury (troponin I >28 pg/mL) and 4.4% patients were diagnosed fungal infections or shock. 4.3% patients have been discharged; 1.5% patient had died; 1.5% patient had recovery.Conclusions In this multicenter case series of 69 patients without comorbidities, the full spectrum of asymptomatic, mild, severe, and critical cases is described. 50.7% patients were male and 49.3% were female; 1.5% patients were asymptomatic cases, 63.8% patients were mild cases, and 36.2% patients were severe or critical cases. 4.3% patients have been discharged; 1.5% patient had died; 1.5% patient had recovery. Among the 25 patients with severe or critical disease, 12.0% patients were underwent non-invasive mechanical ventilation, 8.0% patients underwent invasive mechanical ventilation, and 4.0% patients died."
"clinic","","Clinical Characteristics of Two Human to Human Transmitted Coronaviruses: Corona Virus Disease 2019 versus Middle East Respiratory Syndrome Coronavirus.","https://www.medrxiv.org/content/10.1101/2020.03.08.20032821v1","medRxiv","2020/3/8","After the outbreak of the middle east respiratory syndrome (MERS) worldwide in 2012. Currently, a novel human coronavirus has caused a major disease outbreak, and named corona virus disease 2019 (COVID-19). The emergency of MRES-COV and COVID-19 has caused global panic and threatened health security. Unfortunately, the similarities and differences between the two coronavirus diseases remain to be unknown. The aim of this study, therefore, is to perform a systematic review to compare epidemiological, clinical and laboratory features of COVID-19 and MERS-COV population. We searched PubMed, EMBASE and Cochrane Register of Controlled Trials database to identify potential studies reported COVID-19 or MERS-COV. Epidemiological, clinical and laboratory outcomes, the admission rate of intensive cure unit (ICU), discharge rate and fatality rate were evaluated using GraphPad Prism software. Thirty-two studies involving 3770 patients (COVID-19 = 1062, MERS-COV = 2708) were included in this study. The present study revealed that compared with COVID-19 population, MERS-COV population had a higher rate of ICU admission, discharge and fatality and longer incubation time. It pointed out that fever, cough and generalised weakness and myalgia were main clinical manifestations of both COVID-19 and MERS-COV, whereas ARDS was main complication. The most effective drug for MERS-COV is ribavirin and interferon."
"epidemiology","clinic","The epidemiological characteristics of 2019 novel coronavirus diseases (COVID-19) in Jingmen,Hubei,China","https://www.medrxiv.org/content/10.1101/2020.03.07.20031393v1","medRxiv","2020/3/7","SummaryBackground: Some articles have reported the epidemiological and clinical characteristics of coronavirus disease (COVID-19) in Wuhan, but other cities have rarely been reported. This study explored the epidemiology of COVID-19 in Jingmen.Methods: All confirmed cases of COVID-19 in the First People¨Œs Hospital of Jingmen are included from January 12 to February 14,2020. Cases were analyzed for epidemiological data and were confirmed by real-time PCR. Findings: Of the 213 cases (108 men and 105 women) , 88 (41%) had exposure to Wuhan. The median age was 48 years ( range,2-88 years;IQR,35-58.5). Thirty-three severe patients with a median age of 66 years(range,33-82 years,IQR, 57-76) were treated in intensive care units; out of these patients, 66.7 %(22)  were men and 19 (57.5%) had chronic diseases, including hypertension, diabetes, heart failure, stroke, and renal insufficiency. Under the controlled measures, the number of new patients gradually decreased and nearly disappeared after 20 days.Interpretation: All people are susceptible to the COVID-19, but older males and those with comorbid conditions are more likely to have severe symptoms. Even though COVID-19 is highly contagious, control measures have proven to be very effective."
"diagnosis","","Analytical sensibility and specificity of two RT-qPCR protocols for SARS-CoV-2 detection performed in an automated workflow","https://www.medrxiv.org/content/10.1101/2020.03.07.20032326v1","medRxiv","2020/3/7","The World Health Organization declared that COVID-19 outbreak constituted a Public Health Emergency of International Concern and the development of reliable laboratory diagnosis of SARS-CoV-2 became mandatory to identify, isolate and provide optimized care for patients early. RT-qPCR testing of respiratory secretions is routinely used to detect causative viruses in acute respiratory infection. RT-qPCR in-house protocols to detect the SARS-CoV-2 have been described. Validations of these protocols are considered a key knowledge gap for COVID-19, especially if executed in a high throughput format. Here, we investigate the analytical sensitivity and specificity of two interim RT-qPCR protocols for the qualitative detection of SARS-CoV-2 executed in a fully automated platform. Under our conditions, the N1 and RdRP (modified) showed the highest analytical sensitivity for their RNA targets. E assay, in its original concentration, was considered a tertiary confirmatory assay. Taken together, N1, RdRP (optimized) and E presented appropriated analytical sensibility and specificity in our automated RT-qPCR workflow for COVID-19 virus, E being at least 4-fold less sensitive than the others. This study highlights the importance of local validation of in-house assays before its availability to the population. The use of the synthetic RT-qPCR target to investigate novel assays diagnostic parameters in automated workflows is a quick, simple effective way to be prepared for upcoming threats. The proposed assay detected the first SARS-CoV-2 infection in Brazilian Central-West."
"diagnosis","clinic","Diagnosis of Acute Respiratory Syndrome Coronavirus 2 Infection by Detection of Nucleocapsid Protein","https://www.medrxiv.org/content/10.1101/2020.03.07.20032524v1","medRxiv","2020/3/7","BACKGROUND Nucleic acid test and antibody assay have been employed in the diagnosis for SARS-CoV-2 infection, but the use of viral antigen for diagnosis has not been successfully developed.  Theoretically, viral antigen is the specific marker of the virus and precedes antibody appearance within the infected population. There is a clear need of detection of viral antigen for rapid and early diagnosis.METHODS We included a cohort of 239 participants with suspected SARS-CoV-2 infection from 7 centers for the study. We measured nucleocapsid protein in nasopharyngeal swab samples in parallel with the nucleic acid test. Nucleic acid test was taken as the reference standard, and statistical evaluation was taken in blind. We detected nucleocapsid protein in 20 urine samples in another center, employing nasopharyngeal swab nucleic acid test as reference standard.RESULTS We developed a fluorescence immunochromatographic assay for detecting nucleocapsid protein of SARS-CoV-2 in nasopharyngeal swab sample and urine within 10 minutes.  100% of nucleocapsid protein positive and negative participants accord with nucleic acid test for same samples. Further, earliest participant after 3 days of fever can be identified by the method.  In an additional preliminary study, we detected nucleocapsid protein in urine in 73.6% of diagnosed COVID-19 patients. CONCLUSIONS Those findings indicate that nucleocapsid protein assay is an accurate, rapid, early and simple method for diagnosis of COVID-19. Appearance of nucleocapsid protein in urine coincides our finding of the SARS-CoV-2 invading kidney and might be of diagnostic value."
